spec,rank,score,validated,frag_cov
index=1252,3,561.8152148248118,False,0.41836734693877553
index=1252,4,561.5758403645845,False,0.41836734693877553
index=1253,1,802.6018985053475,True,0.5816326530612245
index=1253,2,729.4895091508413,False,0.5204081632653061
index=1253,3,728.4089375307062,False,0.5510204081632653
index=1253,4,704.9383769218258,False,0.5102040816326531
index=1253,5,687.9808441247661,False,0.35714285714285715
index=1255,1,372.442889915792,True,0.3673469387755102
index=1255,2,372.442889915792,False,0.3673469387755102
index=1255,3,351.7904512343131,False,0.30612244897959184
index=1255,4,351.1609424025387,False,0.3163265306122449
index=1256,1,236.50845900669918,True,0.20408163265306123
index=1256,2,233.8472413496069,False,0.20408163265306123
index=1257,1,368.4920825236695,True,0.29591836734693877
index=1257,3,354.3554432590697,False,0.2755102040816326
index=1257,4,354.3554432590697,False,0.29591836734693877
index=1257,5,354.3554432590697,False,0.2755102040816326
index=1259,1,617.4451749486971,True,0.5
index=1259,2,616.8927471475423,False,0.46938775510204084
index=1259,3,573.1909687994893,False,0.42857142857142855
index=1259,4,551.1616133339054,False,0.41836734693877553
index=1259,5,503.5142161049289,False,0.41836734693877553
index=1260,1,734.1124291903758,True,0.5714285714285714
index=1260,2,686.7202938788253,False,0.5510204081632653
index=1260,3,664.7709914902799,False,0.5
index=1260,4,641.7607065759807,False,0.5102040816326531
index=1260,5,618.1523585790853,False,0.47959183673469385
index=1261,1,380.5303135827659,True,0.24489795918367346
index=1261,2,380.5303135827659,False,0.23469387755102042
index=1261,3,380.5303135827659,False,0.23469387755102042
index=1261,4,380.5303135827659,False,0.23469387755102042
index=1261,5,349.5199714579798,False,0.2653061224489796
index=1262,1,493.2738038675001,True,0.336734693877551
index=1262,3,462.0788778461423,False,0.30612244897959184
index=1263,1,482.2505070856922,True,0.35714285714285715
index=1263,2,434.8117486914123,False,0.2857142857142857
index=1263,3,433.22738350568227,False,0.336734693877551
index=1263,4,433.22738350568227,False,0.336734693877551
index=1263,5,432.89537589827154,False,0.2857142857142857
index=1264,1,587.8548079774232,True,0.40816326530612246
index=1264,2,587.7240272886639,False,0.40816326530612246
index=1264,3,563.6666866102161,False,0.3877551020408163
index=1264,4,563.5337167676951,False,0.3877551020408163
index=1265,1,262.7392330483096,True,0.21428571428571427
index=1265,2,262.7392330483096,False,0.21428571428571427
index=1265,3,262.7392330483096,False,0.21428571428571427
index=1265,4,262.73110845170766,False,0.21428571428571427
index=1265,5,255.10702381179397,False,0.21428571428571427
index=1266,1,346.1110484374564,True,0.22448979591836735
index=1266,2,345.8278466675183,False,0.22448979591836735
index=1266,3,345.54553569054855,False,0.21428571428571427
